retrieved||,||target||,||id
[var1]減[var2]以4減2為底的對數[SEP][Pbeg]log[Psub][Plbb]4[Pmin]2[Prbb][Plsb][var1][Pmin][var2][Prsb] [SEP][Pbeg]log[Psub][Plbb]4[Pplu][Plsb]2[var2][Prsb][Prbb][Plsb][var1][Pplu][var3][Prsb] [SEP][Pbeg]log[Psub][Plbb][Pbeg]log[Psub][Plbb]4[Prbb][var2][Prbb][var1] [SEP][Plbb][var1][Prbb][Pexp][Plbb][Plbb]2[Prbb][Pexp][Plbb]4[Prbb][Prbb] [SEP][Pbeg]log[Psub][Plbb]1[Prbb]4[Pbeg]frac[Plbb][var2][Prbb][Plbb]4[var1][Prbb] [SEP]||,||[Pbeg]log[Psub][Plbb]4[Pmin]2[Prbb][Plsb][var1][Pmin][var2][Prsb] ||,||5
3加括號6-[var1]括號的[var2]次方[SEP][Plbb]3[Pplu][Plsb]6[Pmin][var1][Prsb][Prbb][Pexp][Plbb][var2][Prbb] [SEP][Pbeg]log[Psub][Plbb][var2][Prbb][var1][Pmin][Pbeg]log[Psub][Plbb]6[Prbb][var3] [SEP][Plsb]6[Pplu][var2][Prsb][Pplu][Plbb][var1][Prbb][Pexp][Plbb][var3][Prbb] [SEP][Plsb][var1][Pmin][var3][Prsb][Plsb]3[Pplu][var2][Prsb] [SEP][Plbb]6[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb]6[Prbb][var1][Prbb] [SEP]||,||[Plbb]3[Pplu][Plsb]6[Pmin][var1][Prsb][Prbb][Pexp][Plbb][var2][Prbb] ||,||6
sin[Pspa]6的pi以8加[var1]為底的對數值次方[SEP][Pbeg]log[Psub][Plbb][var2][Prbb][var1][Pmin][Pbeg]log[Psub][Plbb]6[Prbb][var3] [SEP][Pbeg]sin[Plbb][Plbb]6[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb]8[Pplu][var1][Prbb][Pbeg]pi[Prbb][Prbb] [SEP][Plbb]6[Prbb][Pexp][Plbb][Pbeg]frac[Plbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb][Prbb][Plbb][Pbeg]pi[Prbb][Prbb] [SEP][Pbeg]log[Psub][Plbb]6[Prbb][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb] [SEP][Plbb]6[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb]6[Prbb][var1][Prbb] [SEP]||,||[Pbeg]sin[Plbb][Plbb]6[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb]8[Pplu][var1][Prbb][Pbeg]pi[Prbb][Prbb] ||,||7
[var3]分之[var1]的1[var2]次方[SEP][Pbeg]frac[Plbb]1[Prbb][Plbb][Plbb][var2][Prbb][Pexp][Plbb][var1][Prbb][Prbb] [SEP][Plbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var3][Prbb][Prbb][Pexp][Plbb]1[var2][Prbb] [SEP][var1][Plbb]1[Prbb][Pexp][Plbb][var2][Prbb] [SEP][Plbb]1[Prbb][Pexp][Plbb][var2][Prbb][Pmin][var1] [SEP][Plbb]1[Prbb][Pexp][Plbb][var2][Pmin][var1][Prbb] [SEP]||,||[Plbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var3][Prbb][Prbb][Pexp][Plbb]1[var2][Prbb] ||,||21
1加5[SEP][Plbb][Plbb]5[Prbb][Pexp][Plbb]1[Prbb][Prbb][Pexp][Plbb][var1][Prbb] [SEP]1[Pplu]5 [SEP][Pbeg]sqrt[Plbb]5[Prbb] [SEP]0[Pplu][Plbb]5[Prbb][Pexp][Plbb][var1][Prbb] [SEP][Plbb]5[Prbb][Pexp][Plbb][var1][Prbb] [SEP]||,||1[Pplu]5 ||,||22
tan[Pspa]5[SEP][Pbeg]tan[Plbb]5[Prbb] [SEP][Pbeg]tan[Plbb]7[Prbb] [SEP][Pbeg]sqrt[Plbb]5[Prbb] [SEP][Pbeg]tan[Plbb][var1][Prbb] [SEP][Pbeg]tan[Plbb]1[Prbb] [SEP]||,||[Pbeg]tan[Plbb]5[Prbb] ||,||23
根號0[SEP][Pbeg]sqrt[Plbb]0[Prbb] [SEP][Plsb]0[var3][Prsb][Pmin][Plsb][var1][Pmin][var2][Prsb] [SEP][var2][Plsb]0[Pplu][var1][Prsb] [SEP][Plsb]0[Pplu][var2][Prsb][Pmin][var1] [SEP][Plsb][Plsb][Pbeg]sqrt[Plbb]8[Prbb][Prsb][Pplu][Plsb]0[Pmin][var2][Prsb][Prsb][Pplu][var1] [SEP]||,||[Pbeg]sqrt[Plbb]0[Prbb] ||,||24
sin[Pspa]9[var3][Pspa]分之[var2][Pspa]的[var1]次方[SEP][Plbb][Pbeg]frac[Plbb][var2][Prbb][Plbb][Pbeg]sin[Plbb]9[var3][Prbb][Prbb][Prbb][Pexp][Plbb][var1][Prbb] [SEP][Plbb][var2][Prbb][Pexp][Plbb][Plbb][Pbeg]sqrt[Plbb]9[Prbb][Prbb][Pexp][Plbb][var1][Prbb][Prbb] [SEP][Plbb][Pbeg]tan[Plbb]9[Prbb][Prbb][Pexp][Plbb][Pbeg]tan[Plbb][var1][Prbb][Prbb] [SEP][Plbb]9[Prbb][Pexp][Plbb][var1][Prbb] [SEP][Pbeg]frac[Plbb]9[Pplu][var1][Prbb][Plbb]tk[Prbb] [SEP]||,||[Plbb][Pbeg]frac[Plbb][var2][Prbb][Plbb][Pbeg]sin[Plbb]9[var3][Prbb][Prbb][Prbb][Pexp][Plbb][var1][Prbb] ||,||25
2[var2]加2分之8減9的[var1]次方[SEP][Plsb][Plsb]2[var2][Prsb][Pplu][Pbeg]frac[Plbb]8[Prbb][Plbb]2[Prbb][Prsb][Pmin][Plbb]9[Prbb][Pexp][Plbb][var1][Prbb] [SEP][Pbeg]frac[Plbb]2[Pmin][Plsb][var2][Pplu][var1][Prsb][Prbb][Plbb][Plbb]9[Prbb][Pexp][Plbb][var3][Prbb][Prbb] [SEP][Pbeg]log[Psub][Plbb][var2][Prbb][Pbeg]frac[Plbb]7[Prbb][Plbb][Plbb]2[Prbb][Pexp][Plbb]9[var1][Prbb][Prbb] [SEP][Pbeg]frac[Plbb]2[var1][Prbb][Plbb]9[Pmin][var2][Prbb] [SEP][Pbeg]frac[Plbb]8[Prbb][Plbb][var2][Pmin][Plsb][var1][Plsb][Pbeg]sqrt[Plbb]2[Prbb][Prsb][Prsb][Prbb] [SEP]||,||[Plsb][Plsb]2[var2][Prsb][Pplu][Pbeg]frac[Plbb]8[Prbb][Plbb]2[Prbb][Prsb][Pmin][Plbb]9[Prbb][Pexp][Plbb][var1][Prbb] ||,||26
[var1]減cos[Pspa]1以9為底的對數[SEP][Plsb]9[Pplu][var1][Prsb][Pmin][Pbeg]log[Psub][Plbb]1[Prbb][var2] [SEP][var1][Pmin][Plsb][Pbeg]cos[Plbb][Pbeg]log[Psub][Plbb]9[Prbb]1[Prbb][Prsb] [SEP][Pbeg]cos[Plbb][Plsb]9[Pbeg]frac[Plbb]1[Prbb][Plbb][var1][Prbb][Prsb][Pplu][Plsb][Pbeg]sqrt[Plbb][var2][Prbb][Prsb][Prbb] [SEP][Pbeg]log[Psub][Plbb]1[Prbb]9[Pmin][Plsb][Pbeg]sin[Plbb]1[Prbb][Prsb] [SEP][Pbeg]cos[Plbb][Plbb]1[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb][var1][Prbb][var2][Prbb][Prbb] [SEP]||,||[var1][Pmin][Plsb][Pbeg]cos[Plbb][Pbeg]log[Psub][Plbb]9[Prbb]1[Prbb][Prsb] ||,||27
tan[Pspa][var1][SEP][Pbeg]tan[Plbb][var1][Prbb] [SEP][Pbeg]tan[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb] [SEP][Pbeg]tan[Plbb]1[Prbb] [SEP][Pbeg]tan[Plbb][Plbb][var1][Prbb][Pexp][Plbb][var2][Prbb][Prbb] [SEP][Plbb][var2][Prbb][Pexp][Plbb][Pbeg]tan[Plbb][var1][Prbb][Prbb] [SEP]||,||[Pbeg]tan[Plbb][var1][Prbb] ||,||28
log[Pspa]cos[Pspa]sin[Pspa][var2][Pspa]的[var1][SEP][Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb][Prbb][var1] [SEP][Pbeg]sin[Plbb][Pbeg]log[Psub][Plbb][var1][Prbb][var2][Prbb] [SEP][Pbeg]frac[Plbb][var3][Prbb][Plbb][Pbeg]log[Psub][Plbb][var1][Prbb][var2][Prbb] [SEP][Pbeg]log[Psub][Plbb][var4][Pmin][var1][Prbb][Plbb][var2][Prbb][Pexp][Plbb][var3][Prbb] [SEP][Plsb][Pbeg]log[Psub][Plbb][var3][Prbb][var4][Pmin][var2][Prsb][var1] [SEP]||,||[Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb][Prbb][var1] ||,||29
根號11[var2]分之3分之[var1][SEP][Pbeg]frac[Plbb][var1][Prbb][Plbb][Pbeg]frac[Plbb]3[Prbb][Plbb][Plsb][Pbeg]sqrt[Plbb]11[Prbb][Prsb][var2][Prbb][Prbb] [SEP][Plsb][Pbeg]frac[Plbb][var3][Prbb][Plbb][var1][Prbb][Pmin][var2][Prsb][Plsb]3[Pmin][Pbeg]pi[Prsb] [SEP][Pbeg]log[Psub][Plbb][var1][Prbb][Pbeg]frac[Plbb]3[Prbb][Plbb][var2][Prbb] [SEP]3[Pmin][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb] [SEP][Plsb][var1][Pmin][var3][Prsb][Plsb]3[Pplu][var2][Prsb] [SEP]||,||[Pbeg]frac[Plbb][var1][Prbb][Plbb][Pbeg]frac[Plbb]3[Prbb][Plbb][Plsb][Pbeg]sqrt[Plbb]11[Prbb][Prsb][var2][Prbb][Prbb] ||,||30
9分之5[SEP][Pbeg]frac[Plbb]9[Prbb][Plbb]5[Prbb] [SEP][Pbeg]frac[Plbb]5[Prbb][Plbb]9[Prbb] [SEP][Plbb]9[Prbb][Pexp][Plbb]7[Prbb] [SEP][Pbeg]frac[Plbb]5[Prbb][Plbb]7[Prbb] [SEP][Pbeg]frac[Plbb]6[Prbb][Plbb]9[Prbb] [SEP]||,||[Pbeg]frac[Plbb]5[Prbb][Plbb]9[Prbb] ||,||31
9的1次方分之[var1][SEP][Pbeg]frac[Plbb][var1][Prbb][Plbb][Plbb]9[Prbb][Pexp][Plbb]1[Prbb][Prbb] [SEP][Plbb]9[Prbb][Pexp][Plbb][var1][Prbb] [SEP][Plsb]9[Pplu][var1][Prsb][Pmin][Pbeg]log[Psub][Plbb]1[Prbb][var2] [SEP][Plbb][var2][Prbb][Pexp][Plbb][Plbb][Pbeg]sqrt[Plbb]9[Prbb][Prbb][Pexp][Plbb][var1][Prbb][Prbb] [SEP][Plbb]1[Prbb][Pexp][Plbb]7[Prbb][Pplu][Plbb]9[Prbb][Pexp][Plbb][var1][Prbb] [SEP]||,||[Pbeg]frac[Plbb][var1][Prbb][Plbb][Plbb]9[Prbb][Pexp][Plbb]1[Prbb][Prbb] ||,||32
0減[var1][Pspa]分之2[SEP][Plsb]0[var3][Prsb][Pmin][Plsb][var1][Pmin][var2][Prsb] [SEP][Pbeg]log[Psub][Plbb]0[Prbb][Pbeg]frac[Plbb]2[Prbb][Plbb][Pbeg]cos[Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb][Prbb] [SEP][Pbeg]log[Psub][Plbb][Pbeg]sqrt[Plbb]2[Prbb][Prbb][Plsb]0[Pplu][var1][Prsb] [SEP][Pbeg]frac[Plbb]2[Prbb][Plbb]0[Pmin][var1][Prbb] [SEP][Pbeg]log[Psub][Plbb]1[Prbb][Pbeg]log[Psub][Plbb]2[Prbb][Pbeg]log[Psub][Plbb]1[Prbb][var1] [SEP]||,||[Pbeg]frac[Plbb]2[Prbb][Plbb]0[Pmin][var1][Prbb] ||,||33
