"latex","description"
" x^n + y^n = z^n ","x的n次方加y的n次方等於z的n次方"
" x^3 + y^3 = z^3 ","x的三次方加y的三次方等於z的三次方"
" x^2 + y^5 = z^8 ","x平加y的5次方等於z的8次方"
"E=mc^2","E等於mc平方"
"\sqrt{x^2+1}","根號x平方加一"
" F = G \left( \frac{m_1 m_2}{r^2} \right)","F等於G乘以m1m2除以r平方"
"\frac{1}{2} ","二分之一"
"\frac{234}{51} ","51分之234"
"\frac{87}{6903} ","六千九百零三分之八十七"
"\frac{32832}{313} ","313分之32832"
"e^{\pi i} + 1 = 0 ","e的pi乘以i次方加1等於0"
"2x - 5y =  8 ","2x減5y等於8"
"3x + 9y =  -12 ","3x加9y等於負12"
"x=y ","x等於y"
"w =z ","w等於z"
"a=b+c ","a加b等於c"
"2x=-y ","2x等於y"
"3w=\frac{1}{2}z    ","3w等於二分之一z"
"a=b ","a等於b"
"w+2=-1+w ","w加二等於負一加w"
"ab=cb ","ab等於cb"
"2x - 5y =  8 ","2x減5y等於負八"
"3x^2 + 9y =  3a + c ","3x平方加上9y等於3a加c"
"3ax+4by=5cz ","3ax加4by等於5cz"
" \int_{a}^{b} x^2 \,dx ","從a到b，x平方的積分"
"x^n + y^n = z^m","x的n次方加y的n次方等於z的m次方"
"x^3 + y^t = z^3 ","X3方加y的t次方等於z的3次方"
"x^2 + 9 = z^8","x平方加九等於z8次方"
"x^11 + y^9 = 73","x加y九次等於73"
"x^x + y^3 = z^n","x^x+y^3=z^n"
"x^2 + y = x + w^3","叉平加y等於差加W三方"
"y^3 + x = s^t","y的三次方加x等於s的t次方"
"w+x+y+z=\pi ","w加x加y加z等於拍"
"x+y+z=n\pi","x加y加z等於npi"
"a^b > \frac{a}{a+b}","a的b次方大於a加b分之a"
"xy^2 + x^2y \leq 0","x乘y平方加x平方乘y小於等於0"
"ax^{2}+bx+c = 5","ax平方加bx加c等於5"
"a(x-r)(x-s)=0","a乘以x減r乘以x減s"
"z^{2}+q=pz","z平方加q等於pz"
"x = \sqrt{\theta} \tan\theta","x等於根號西塔tan西塔"
"\tan 2 \theta = 2 \frac{\sqrt{ac}}{b}","tan二theta等於2根號括號ac括號除以b"
"r={\sqrt  {{\frac  {c}{a}}}}","r等於根號c除以a"
"y=a(x-h)^2+k","y等於a括號x減h平方加k"
"x^{4}+y^{4}=z^{2}","x四次加y四次等於z平方"
"p\equiv 1\;mod\;4","p同餘一mod四"
"\sqrt{x^3+1}","根號x立方加一"
"\sqrt{x^2+2x+1}","根號x平方加2x加1"
"\sqrt{x^e+\pi}","根號x的e次方加pi"
"\sqrt{\pi^3+31}","根號下拍三次加31"
"\sqrt{\sqrt{x^4+6}}","根號的根號x四加六"
"\sqrt{x+x^5+3}","根號x加x的五次加三"
"\sqrt{a^3b^2+a^2}","根號a三b二加a平"
"\sqrt{x^2y^4z^6} ","根號的x平方y四次z六次"
"\sqrt{a^3+b^3+c^3}","根號a三加b三加c三"
"\sqrt{(a+b+c)^{3}}","根號a加b加c的三次方"
"\sqrt{\sin(\frac{\pi}{3})}","根號sin的3分之pi"
"\sqrt{ax^{2}+bx+c}","根號ax平方加bx加c"
"\sqrt{a(x-r)(x-s)}","a加b,c加d等於ac加ad加bc加bd"
"\sqrt{z^{2}+q}","根號z平方加q"
"\sqrt{x_1+x_2+x_3}","根號x1加x2加x3"
"\sqrt{mc^2}","根號下mc平方"
"\frac{1}{2} ","二分之一"
"\frac{234}{51} ","51分之234"
"\frac{87}{6903} ","87除以6903"
"\frac{32832}{313} ","313分之32832"
"\frac{\pi^2}{4} ","四分之拍平方"
"\frac{\sqrt{x^2+2x+1}}{x+3} ","x加三分之根號x平加二x加一"
"\frac{x^3+1}{x+1} ","x三加一除以x加一"
"\frac{a^2b^4}{a^3b^2} ","a平b四次方除以a三次方b平方"
"\frac{4}{\pi^2} ","pi平方分之4"
"\frac{71}{\sqrt{153}}","根號153分之71"
"\frac{41}{467}","四十一除以四六七"
"\frac{34}{500}","五百分之三十四"
"\frac{69}{724}","724分之69"
"\frac{78}{358}","78除以358"
"\frac{62}{464}","464分之62"
"\frac{5}{145}","145分之5"
"\frac{81}{827}","81除以827"
"\frac{61}{491}","491分之61"
"\frac{95}{942}","942分之96"
"\frac{27}{436} ","436分之27"
"P_{r}^{n}","Pn取r"
"P_{a}^{b}","b個相異物中選a個排列"
"P_{9}^{9}","p九取九"
"P_{3}^{5}","P5取3"
"P_{12}^{n}","pn取12"
"C_{r}^{n}","Cn取r"
"C_{a}^{b}","Cb取a"
"C_{5}^{12}","C12取5"
"C_{3}^{n}","cn取三"
"C_{r}^{7}","C7取r"
"e^{\pi i} + 1 = 0 ","e的pii次方加一等於0"
"2x - 5y =  8 ","2x減5y等於8"
"3x + 9y =  -12 ","三x加九y等於負十二"
"x=y ","x等於y"
"w =z ","w等於z"
"a=b+c ","a等於b加c"
"2x=-y ","2x等於負y"
"3w=\frac{1}{2}z    ","三w等於二分之一z"
"a=b ","a等於b"
"-4 + 5x=2+y ","負四加五x等於二加y"
"w+2=-1+w ","w加2等於-1加w"
"ab=cb ","ab等於cb"
"2x - 5y =  8 ","二x減5y等於八"
"3x^2 + 9y =  3a + c ","3x平方加9y等於3a加c"
"3ax+4by=5cz ","三ax加四by等於五cz"
"a+b+c < 8 ","a加b加c小於8"
"x^2 < 2x + 9","x平方小於2x加9"
"x^3 + 5y + x^2 + 6 \geq 0","x立方加5y加x平方加6大於等於0"
"x^2y^5 + 7xy \leq 0","x平方乘y的五次方加7xy小於等於0"
"abx - c = y^2","abx減c等於y平方"
"4a = \frac{5}{2}","4a等於2分之五"
"\log_a b","log,a,b"
"\log_{10} 100","log10100"
"\a^{\log_{10} a}","skip"
"\log_a 10 + \log_b 10","loga10加logb10"
"\log_{10} a = \log_{100} a^2","a取對數等於a平方去取以100為底的對數"
"x_1 + x_2 + x_3 = 5","x1加x2加x3等於5"
"a_1 + a_3 + a_5 = 7","aone加a三加a五等於七"
"a + b + c + d = x + y + z","a加b加c加d等於x加y加z"
"a^b + \log_{10} c","a的b加log10c"
"\frac{\sin(x)}{\cos(x)} = \tan(x)","sinx除以cosx等於tanx"
"\frac{\log_{a} b}{\log_{b} a}","logba分之logab"
"\sum_{n=1}^{100} n ","從1加到100"
"\sum_{n=0}^{50} 2^n ","二的五十一次方減一"
"\sum_{k=1}^{n} k 2^{k-1}","sigmak等於一,n,k乘以二的k減一次"
"\sum_{k=15}^{83} 2n+1","2n+1，n代十五至八三的和"
"E=mc^2","能量等於mc平方"
"R = q^{2} r^{2}","R等於q平方乘r平方"
"F = G \left( \frac{m_1 m_2}{r^2} \right)","F等於Gm1m2除以r平方"
"A = \frac{\pi r^2}{2} ","A等於拍r平方除以二"
"A = \frac{1}{2} \pi r^2 ","A等於二分之一pir平方"
"\sin(a + b) = \sin a \cos b + \cos b \sin a ","sin的a+b等於sinacosb加cosbsina"
"\cos(a + b) = \cos a \cos b - \sin a \sin b","cos(a+b)=cosacosb−sinasinb"
"\sin(x + y) = \sin x \cos y + \cos y \sin x ","sinx加y等於sinxcosy加cosysinx"
"\cos(x + y) = \cos x \cos y - \sin x \sin y","cosx加y等於cosxcosy-sinxsiny"
"\sin^2(x) + \cos^2(x) = 1","sin平方x加cos平方x等於一"
"\sin(2x) = 2 \cos x \sin x","sin二x等於二cossinx"
"\sin(\frac{\pi}{3})","sin的3分之pi"
"\cos(\frac{\pi}{4}) + \sin(\pi)","cos四分之pi加sinx"
"\int_{a}^{b} x^2 \,dx ","x的平方從ㄟ積到逼"
"\int_{0}^{1} x^3 + x \,dx","x三+x對x從0積到1"
"\int_{0}^{n} \sin x \,dx","sinxdx從0積到n"
"\int_{1}^{n} \frac{1}{y} \,dy ","1/y對y從1積到n"
"\int_{a}^{b} y^3 + 5a \,dy","y三次方加5a對y從a積分到b"
"\int_{2}^{50} y^2 + y \,dx","y平加y從2積到50"
"\int_{-n}^{1} a^3 + 2a^2 \,dz","a三加二a平對z從負n積到一"
"\int_{-10}^{0} b^2 + z \,dz","b平方加z，z從-10到0"
"p=x^{2}+y^{2}","p等於x平方加y平方"
"a^{p-1}\equiv 1{\pmod {p}}","a的p-1次以p除時同餘1"
"x = \sqrt{c}","x等於根號c"
"\sin ^{2}\theta +\cos ^{2}\theta =1","同角度下,正弦函數與餘弦函數平方和等於一"
"\sqrt{1 - \cos^2 \theta} = \sin \theta","Skip"
"\sqrt{1 - \sin^2 \theta} = \cos \theta","根號一減sine平方theta等於costheta"
"\sin(x+y)\sin(x-y)=\sin^{2}{x}-\sin^{2}{y}","sinx加ysinx減y等於sin平x減sin平y"
"\sin(x+y)\sin(x-y)=\cos^{2}{y}-\cos^{2}{x}","sinx加ysinx減y等於cos平y減cos平x"
"a^{b+c}=a^{b}a^{c}","a的b加c次方等於a的b次程已a的c次"
"(a+b)(c+d)=ac+ad+bc+bd","a加b乘以c加d等於ac加ad加bc加bd"
"(a+b)^2=a^2+2ab+b^2","a+b的平方等於a平方加2ab加b平方"
"(a+b+c)^2=a^2+b^2+c^2+2ab+2bc+2ca","a加b加c平方等於a平方加b平方加c平方加二ab加二bc加二ca"
"(a-b)^2=a^2-2ab+b^2","a減b括號平方等於a平減貳ab加b平"
"(a-b-c)^{2}=a^{2}+b^{2}+c^{2}-2ab-2ac+2cb","skip"
"a^{2}-b^{2}=(a+b)(a-b)","a平減b平等於a+b乘a-b"
"(a+b)^{3}=a^{3}+3a^{2}b+3ab^{2}+b^{3}","a加b三次等於a三加三a平b加三ab平加b三"
"(a-b)^{3}=a^{3}-3a^{2}b+3ab^{2}-b^{3}","a減b完全立方等於a三次減三a平b加三ab平減b三次"
"a^{3}+b^{3}=(a+b)^{3}-3ab(a+b)","a3方加b3方等於括號a加b的三次方減3ab乘以括號a加b"
"a^{3}-b^{3}=(a-b)^{3}+3ab(a-b) a^{3}+b^{3}+c^{3}-3abc=(a+b+c)(a^{2}+b^{2}+c^{2}-ab-bc-ca)","skip"
"a^{4}+a^{2}b^{2}+b^{4}=(a^{2}+ab+b^{2})(a^{2}-ab+b^{2})","a四次加a平b平加b四次等於a平加ab加b平乘以a平減ab加b平"
"a^{2}+b^{2}=(a+b)^{2}-2ab","a平方加b平方等於a加b平方減2ab"
"a^{2}+b^{2}=(a-b)^{2}+2ab","a平方加b平方等於a減b平方加2ab"
"(a+b+c)^{3}=a^{3}+b^{3}+c^{3}+3(a+b)(b+c)(a+c)","skip"
"(a + b + c)^2 = a^2 + b^2 + c^2 + 2ab + 2bc + 2ca","skip"
"a^{2}-b^{2}=\left(a+b\right)\left(a-b\right)","a平減b平等於a加b,a減b"
