target,retrieved
[Plbb]3[Prbb][Pexp][Plbb][var1][Prbb][Pmin][Plsb][Pbeg]sin[Plbb]6[Prbb][Prsb],3的[var1]次方減sin[Pspa]6
[Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Pbeg]sin[Plbb]8[Prbb][Prsb],sin[Pspa]8以8為底的對數值
1[Pmin][var1],1減[var1]
3[Pmin][var1],3減[var1]
[Pbeg]log[Psub][Plbb]4[Pmin]2[Prbb][Plsb][var1][Pmin][var2][Prsb],[var1]減[var2]以4減2為底的對數
[Plbb]3[Pplu][Plsb]6[Pmin][var1][Prsb][Prbb][Pexp][Plbb][var2][Prbb],3加括號6減[var1]括號的[var2]次方
[Pbeg]sin[Plbb][Plbb]6[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb]8[Pplu][var1][Prbb][Pbeg]pi[Prbb][Prbb],sin[Pspa]6的pi以8加[var1]為底的對數值次方
[Pbeg]sqrt[Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb],根號cos[Pspa][var1]
[Pbeg]log[Psub][Plbb][Pbeg]frac[Plbb]5[Pmin][Pbeg]frac[Plbb][var3][Prbb][Plbb]7[Pmin][var1][Prbb][Prbb][Plbb][Pbeg]sqrt[Plbb][var2][Prbb][Prbb][Prbb][Plsb][Pbeg]cos[Plbb][Plbb][var4][Prbb][Pexp][Plbb][var5][Prbb][Prbb][Prsb],cos[Pspa][var4]的[var5]次方以根號[var2]分之5減7減[var1]分之[var3]為底的對數
[Plsb][var3][Pplu][var1][Prsb][Pplu][Plsb]4[Pplu][Plbb]8[Prbb][Pexp][Plbb][var2][Prbb][Prsb],括號[var3]加[var1]括號加括號4加8的[var2]次方括號
5[Pplu][var1],5加[var1]
[Plbb][Pbeg]sin[Plbb]2[Prbb][Prbb][Pexp][Plbb][var1][Prbb],sin[Pspa]2的[var1]次方
[Plsb][Plsb]8[Pplu][var4][Prsb][Pmin][Plsb][var3][Pplu][var2][Prsb][Prsb][var1],括號8加[var4]減括號[var3]加[var2]整個乘以[var1]
[Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Pbeg]sin[Plbb]7[Prbb][Prsb],sin[Pspa]7以8為底的對數
[Plbb]3[Prbb][Pexp][Plbb][var2][Pplu][var1][Prbb],3的[var2]加[var1]次方
[Pbeg]frac[Plbb][var2][Prbb][Plbb][Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Plsb][var1][Pmin][var4][Prsb][Pmin][var3][Prsb][Prbb],log[Pspa]8[Pspa]括號[var1]減[var4]減[var3]分之[var2]
[Plsb][Plsb][Pbeg]sqrt[Plbb]8[Prbb][Prsb]6[Prsb][var1],根號8乘以6乘以[var1]
[Pbeg]sqrt[Plbb]9[Prbb],根號9
[Pbeg]sqrt[Plbb][var1][Prbb],根號[var1]
[Plbb]5[Prbb][Pexp][Plbb][Pbeg]sqrt[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Prbb],5的根號根號[var1]次方
[Plbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var3][Prbb][Prbb][Pexp][Plbb]1[var2][Prbb],[var3]分之[var1]的1[var2]次方
1[Pplu]5,1加5
[Pbeg]tan[Plbb]5[Prbb],tan[Pspa]5
[Pbeg]sqrt[Plbb]0[Prbb],根號0
[Plbb][Pbeg]frac[Plbb][var2][Prbb][Plbb][Pbeg]sin[Plbb]9[var3][Prbb][Prbb][Prbb][Pexp][Plbb][var1][Prbb],sin[Pspa]9[var3][Pspa]分之[var2][Pspa]的[var1]次方
[Plsb][Plsb]2[var2][Prsb][Pplu][Pbeg]frac[Plbb]8[Prbb][Plbb]2[Prbb][Prsb][Pmin][Plbb]9[Prbb][Pexp][Plbb][var1][Prbb],2[var2]加2分之8減9的[var1]次方
[var1][Pmin][Plsb][Pbeg]cos[Plbb][Pbeg]log[Psub][Plbb]9[Prbb]1[Prbb][Prsb],[var1]減cos[Pspa]1以9為底的對數
[Pbeg]tan[Plbb][var1][Prbb],tan[Pspa][var1]
[Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb][Prbb][var1],log[Pspa]cos[Pspa]sin[Pspa][var2][Pspa]的[var1]
[Pbeg]frac[Plbb][var1][Prbb][Plbb][Pbeg]frac[Plbb]3[Prbb][Plbb][Plsb][Pbeg]sqrt[Plbb]11[Prbb][Prsb][var2][Prbb][Prbb],根號11[var2]分之3分之[var1]
[Pbeg]frac[Plbb]5[Prbb][Plbb]9[Prbb],9分之5
[Pbeg]frac[Plbb][var1][Prbb][Plbb][Plbb]9[Prbb][Pexp][Plbb]1[Prbb][Prbb],9的1次方分之[var1]
[Pbeg]frac[Plbb]2[Prbb][Plbb]0[Pmin][var1][Prbb],0減[var1][Pspa]分之2
[Pbeg]cos[Plbb][Pbeg]frac[Plbb][Plbb]2[Prbb][Pexp][Plbb][Pbeg]frac[Plbb]2[Plsb]4[Pplu][var2][Prsb][Prbb][Plbb][var1][Prbb][Prbb][Prbb][Plbb][Pbeg]frac[Plbb]9[Prbb][Plbb]3[Prbb][Prbb][Prbb],cos[Pspa]3分之9[Pspa]分之[Pspa]2的[var1]分之2乘以括號4加[var2]
0[Pplu][Pbeg]frac[Plbb]7[Prbb][Plbb][var1][Prbb],0加[var1]分之7
[Pbeg]tan[Plbb][var1][Prbb],tan[Pspa][var1]
[var1][Pmin]R,[var1]減去[var1]
[Pbeg]log[Psub][Plbb]7[Prbb][var1][Pbeg]frac[Plbb][var3][Prbb][Plbb][var2][Prbb],[var1]又[var2]分之[var3]以7為底的對數
[Plsb][Pbeg]cos[Plbb]3[Prbb][Prsb][Pmin][Plbb]8[Prbb][Pexp][Plbb][Pbeg]pi[Prbb],cos[Pspa]3[Pspa]減8的pi次方
[Pbeg]log[Psub][Plbb][var2][Prbb][var1],log[Pspa][var2][Pspa][var1]
[Pbeg]frac[Plbb]8[Prbb][Plbb][var1][Pmin][var2][Prbb],[var1]減[var2][Pspa]分之8
[Pbeg]log[Psub][Plbb]7[Prbb][var1],log[Pspa]7[Pspa]的[var1]
0[Pplu][Plsb][var1][Pbeg]frac[Plbb][Pbeg]log[Psub][Plbb][var4][Prbb][Plbb]9[Prbb][Pexp][Plbb][var2][Prbb][Prbb][Plbb][var3][Prbb][Prsb],0加[var1]乘以[var3]分之9的[var2]次方以[var4]為底的對數值
[Plsb]0[Pplu][var1][Prsb][Pplu][Pbeg]frac[Plbb][Pbeg]sin[Plbb]7[Prbb][Prbb][Plbb]9[Prbb],0加[var1]加[Pspa]9分之sin[Pspa]7
[Pbeg]cos[Plbb]9[Prbb],cos[Pspa]9
[Plbb][Pbeg]frac[Plbb]4[Prbb][Plbb][var2][Prbb][Prbb][Pexp][Plbb][var1][Prbb],[var2]分之4[Pspa]的[var1]次方
[Pbeg]frac[Plbb]2[Prbb][Plbb]6[Prbb],6分之2
3[Pplu][var1],3加[var1]
[Pbeg]frac[Plbb]9[Prbb][Plbb]8[Prbb],8分之9
[Plbb][var2][Prbb][Pexp][Plbb]3[Pmin][Pbeg]log[Psub][Plbb][Pbeg]pi[Prbb][var1][Prbb],[var2]的3減log[Pspa]pi[Pspa][var1][Pspa]次方
[Pbeg]log[Psub][Plbb][var1][Prbb][Plsb][Plsb][Pbeg]tan[Plbb][var2][Prbb][Prsb][Pplu][Plsb][Pbeg]sin[Plbb]3[Prbb][Prsb][Prsb],tan[Pspa][var2][Pspa]加[Pspa]sin[Pspa]3[Pspa]以[var1]為底的對數
[Pbeg]frac[Plbb]5[Prbb][Plbb][Plbb][Pbeg]log[Psub][Plbb]2[Prbb][var1][Prbb][Pexp][Plbb][var2][Prbb][Prbb],[var1]的[var2]次方以3為底的對數分之5
[Plsb][var3][Pplu][var2][Prsb][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb],[var3]加[var2]整個乘以cos[Pspa][var1]
4[Pplu][Plsb][Plsb][Pbeg]cos[Plbb]7[Prbb][Prsb][Pplu]6[Prsb],4加括號cos[Pspa]7[Pspa]加[Pspa]6括號
[Plsb][Pbeg]sin[Plbb][var2][Prbb][Prsb][var1],sin[Pspa][var2][Pspa]乘上[var1]
7[Pplu][Pbeg]log[Psub][Plbb]1[Prbb][var1],7加log[Pspa]1[Pspa][var1]
[Pbeg]tan[Plbb]7[Prbb],tan[Pspa]7
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Pbeg]frac[Plbb][Pbeg]pi[Prbb][Plbb][Pbeg]log[Psub][Plbb]0[Prbb][var1][Prbb],pi[Pspa]分之[Pspa][var1]以0為底的對數
[Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb][var2],sin[Pspa][var1]乘以[var2]
[Pbeg]sin[Plbb][var1][Pplu][var2][Prbb],[var1]加[var2]的sin值
[var1][Pplu][Plsb][Pbeg]cos[Plbb][var2][Prbb][Prsb],[var1]加cos[Pspa][var2]
3[Pbeg]frac[Plbb]0[Prbb][Plbb][Plbb]6[Prbb][Pexp][Plbb]5[Prbb][Prbb],3又6的5次方分之0
[Pbeg]sin[Plbb]6[Prbb],sin[Pspa]6
[Plsb][var1][Pplu][Plsb][Pbeg]tan[Plbb]3[Prbb][Prsb][Prsb][Plsb]5[Pplu]9[Prsb],[var1]加[Pspa]tan[Pspa]3[Pspa]乘以[Pspa]5加9
[Plsb]cp[Prsb][Pmin][Pbeg]frac[Plbb]0[Prbb][Plbb][var1][Prbb],cp減[var1]分之0
[Pbeg]log[Psub][Plbb]2[Prbb]2,log[Pspa]2[Pspa]2
[Pbeg]sin[Plbb]7[Prbb],sin[Pspa]7
[Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][Pbeg]pi[Pbeg]frac[Plbb]2[Prbb][Plbb][var1][Prbb][Prbb][Prbb],cos[Pspa]根號pi的[var1]分之2次方
6[Pmin][Plsb]41[Prsb],6減41
[Pbeg]tan[Plbb]8[Plsb]1[Pplu][Pbeg]log[Psub][Plbb][var2][Prbb][var1][Prsb][Prbb],tan[Pspa]8乘上括號1加log[Pspa][var2][Pspa][var1]
[Pbeg]cos[Plbb]0[Prbb],cos[Pspa]0
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Pbeg]frac[Plbb]4[Prbb][Plbb][var2][Pmin][Plsb][Pbeg]pi[Pplu][var1][Prsb][Prbb],[var2]減括號pi加[var1][Pspa]分之4
[Pbeg]log[Psub][Plbb]2[Prbb][var1],[var1]以2為底的對數
[Pbeg]sin[Plbb]7[Prbb],sin[Pspa]7
[Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb],[var1]分之5
[Pbeg]tan[Plbb][var1][Prbb],tan[Pspa][var1]
[Pbeg]log[Psub][Plbb]0[Prbb][var1],[var1]以0為底的對數值
4[Pplu][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb],4加[Pspa]sin[Pspa][var1]
[Pbeg]frac[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb],[var2]分之[Pspa]sin[Pspa][var1]
